layer,neuron_idx,count
12,4055,141
12,1298,101
12,291,107
12,1189,110
12,3266,130
12,1039,116
12,3296,1
12,2943,61
12,866,36
12,3694,1
7,4055,121
7,761,63
7,291,65
7,2997,2
7,3392,2
7,2692,26
7,3870,1
7,3231,1
7,3741,1
7,3335,1
10,4055,50
10,788,16
10,2742,40
10,291,27
10,637,3
10,2794,2
10,2634,1
10,3041,1
10,2943,3
10,341,2
2,4055,22
2,1039,16
2,291,18
2,1357,22
2,3405,18
2,761,8
2,162,2
2,2977,18
2,1501,22
2,2579,12
3,4055,38
3,291,38
3,1731,19
3,42,7
3,2352,10
3,1039,37
3,3316,14
3,1059,35
3,761,7
3,2629,24
7,1325,14
7,2116,112
7,2303,6
7,1059,4
7,764,1
7,2726,112
7,2434,2
13,4055,17
13,1189,14
13,2943,9
13,2726,7
13,2720,14
13,1059,11
13,2116,4
13,1162,16
13,2932,1
13,3516,2
7,2742,76
7,2932,42
7,3881,4
7,1162,67
7,2265,1
21,2352,16
21,4055,16
21,1421,6
21,1658,1
21,2742,7
21,761,2
21,504,2
21,3361,1
21,2646,13
21,1338,2
29,2352,9
29,1384,9
29,4055,9
29,184,9
29,1971,8
29,2584,9
29,3586,7
29,229,5
29,3768,7
29,782,5
18,2352,14
18,4055,14
18,1059,8
18,866,4
18,2720,2
18,1298,5
18,2742,13
18,1039,5
18,2098,1
18,1162,3
24,2352,69
24,2252,29
24,2742,14
24,1658,7
24,349,44
24,761,15
24,2646,14
24,504,47
24,2209,34
24,1421,2
25,2352,27
25,4055,27
25,2252,14
25,2742,11
25,866,11
25,229,5
25,709,6
25,912,5
25,761,11
25,2005,6
24,1059,16
8,4055,40
8,291,37
8,607,21
8,3266,10
8,1039,5
8,2629,23
8,4045,2
8,1761,3
8,2744,1
8,2230,1
8,912,4
8,3164,1
8,2757,1
15,4055,8
15,2352,8
15,2742,3
15,3919,3
15,1378,1
15,3019,1
15,2213,1
15,1962,1
15,1032,1
15,809,1
12,2720,49
12,2352,81
12,2742,13
12,1565,39
12,2642,2
12,133,18
12,1569,2
26,2352,26
26,2252,20
26,1384,9
26,1658,6
26,3026,9
26,3118,3
26,4055,9
26,761,7
26,2742,9
26,229,7
8,1739,1
8,610,1
30,2352,35
30,2252,35
30,1917,2
30,184,15
30,641,2
30,214,2
30,1753,23
30,2742,35
30,3928,2
30,761,16
29,402,3
29,3928,1
11,4055,69
11,291,8
11,500,7
11,3638,7
11,2538,7
11,3473,2
11,1045,1
11,2490,2
11,2990,1
11,2800,1
11,3169,1
11,1721,4
11,495,19
11,1,3
12,3231,28
12,761,16
12,1703,1
12,3738,1
12,1162,19
12,837,1
9,4055,62
9,291,32
9,1039,39
9,133,14
9,1818,3
9,2629,12
9,3266,17
9,1626,3
9,2990,2
9,3706,8
9,3564,4
9,3262,1
9,4065,2
9,1064,5
22,2352,8
22,2742,2
22,761,1
22,4055,8
22,504,1
22,1869,1
22,1421,1
22,1211,1
22,3965,1
22,1951,1
12,3357,4
12,1144,3
7,607,19
7,2629,16
7,317,2
7,1917,2
7,544,1
7,1095,1
16,4055,26
16,2352,26
16,2485,6
16,1162,10
16,761,3
16,2943,6
16,1039,4
16,1421,4
16,1059,2
16,1189,7
28,4055,26
28,3118,16
28,2352,26
28,3026,17
28,2995,16
28,2252,16
28,1188,18
28,320,1
28,3768,15
28,1344,3
25,1384,4
25,1951,7
25,1726,3
3,2977,36
3,1565,13
3,50,21
3,607,32
3,133,4
14,4055,6
14,2352,4
14,1510,2
14,1082,2
14,2742,2
14,3577,2
14,761,2
14,238,2
14,2190,1
14,1247,2
18,761,1
18,3266,1
14,2629,1
9,508,3
9,2742,6
9,607,4
9,2539,3
9,1565,1
9,1144,2
9,547,1
12,1059,9
12,1090,1
13,1019,8
13,3231,8
13,3502,3
13,709,2
8,1942,1
8,2352,34
8,2676,1
8,909,1
8,1781,1
8,3531,18
8,738,1
25,2992,7
25,504,7
24,1951,3
24,866,7
9,652,4
9,1260,11
9,3408,2
9,1298,1
9,340,1
9,1734,1
31,2352,7
31,1753,7
31,940,4
31,782,5
31,1382,4
31,3928,5
31,3328,2
31,1917,2
31,2041,4
31,3228,3
28,3965,13
28,1384,13
25,2646,5
7,2352,46
7,3266,15
7,912,6
7,1502,1
9,2726,4
9,1202,1
9,1977,2
18,2992,4
18,2943,1
18,709,1
11,894,10
11,571,11
11,3768,19
11,1637,6
11,2757,3
11,2344,25
11,2713,1
11,3947,3
11,641,2
4,4055,22
4,2352,22
4,3620,9
4,73,3
4,1357,4
4,607,21
4,3901,2
4,148,3
4,42,9
4,1709,1
6,4055,33
6,761,32
6,353,1
6,2629,6
6,1565,16
6,1674,1
6,1722,1
6,1018,1
6,1555,1
6,2913,1
4,1935,1
4,771,1
16,2742,5
16,2209,6
16,1298,9
26,402,1
25,349,8
26,2995,1
5,4055,29
5,1059,10
5,607,14
5,3930,1
5,1406,1
5,2352,17
5,1739,1
5,1565,1
5,3266,17
5,1559,1
24,2943,3
24,4055,50
12,373,20
12,2726,14
9,1710,15
9,2168,8
9,2583,5
9,3516,34
9,711,5
7,788,7
7,2646,3
7,682,2
7,3379,1
5,2993,21
5,2726,15
5,3823,11
5,657,5
5,174,7
5,1841,5
5,1717,6
5,120,1
17,2352,31
17,4055,31
17,1189,14
17,886,1
17,1028,1
17,290,20
17,1298,12
17,55,1
17,2583,1
17,291,12
21,3369,1
21,783,1
21,682,1
21,1708,2
21,3892,2
27,2352,6
27,2252,5
27,4055,6
27,3026,3
27,1384,3
27,2121,2
27,3768,3
27,593,3
27,3164,2
27,1870,1
9,3375,3
9,1805,3
9,2933,2
9,1162,17
8,185,1
8,3470,2
8,3452,1
8,592,2
8,2360,1
9,3743,1
5,761,13
5,3563,1
5,2865,2
5,217,1
5,3764,1
5,2742,1
12,2932,4
12,3869,4
12,995,2
12,1217,5
