layer,neuron_idx,count
13,4055,45
13,3231,17
13,1059,28
13,3516,13
13,1162,28
13,2943,18
13,2726,18
13,709,2
13,1565,7
13,1039,21
13,866,14
13,3266,3
21,2352,21
21,4055,21
21,761,6
21,2742,13
21,1421,15
21,1658,6
21,1951,3
21,2209,8
21,504,4
21,2943,2
13,1192,5
13,2299,8
13,2747,2
24,2352,103
24,2252,28
24,761,8
24,2742,8
24,2209,63
24,4055,89
24,504,58
24,1951,8
24,2646,6
24,866,3
13,2116,20
13,362,11
13,3381,5
13,2110,12
13,3667,10
13,1019,22
13,3991,2
17,2352,23
17,4055,23
17,866,17
17,290,20
17,133,16
17,1211,8
17,1815,13
17,709,8
17,1421,3
17,884,1
13,1365,2
26,2352,55
26,2252,34
26,1384,2
26,3026,2
26,1658,2
26,4055,3
26,229,1
26,2742,2
26,320,1
26,910,1
10,4055,49
10,788,41
10,291,35
10,341,12
10,1565,11
10,2742,38
10,357,13
10,1827,6
10,2857,3
10,3555,3
11,4055,30
11,1967,5
11,3477,4
11,407,4
11,1616,1
11,2904,1
11,1793,1
11,1637,3
11,2479,1
11,3266,3
12,4055,67
12,1298,42
12,1189,62
12,3266,63
12,291,49
12,1039,47
12,2742,9
12,2943,15
12,3911,1
12,866,24
10,3266,17
10,3803,1
7,4055,83
7,1162,34
7,761,55
7,1701,2
7,2726,71
7,2932,19
7,291,53
7,2629,19
7,3016,1
7,2017,1
5,4055,28
5,1694,11
5,3973,3
5,583,4
5,3475,1
5,1370,2
5,2823,2
5,3823,5
5,3208,3
5,4028,1
5,2352,14
5,3342,4
5,1521,2
5,3418,3
5,3512,2
5,607,3
5,3932,3
5,1268,2
5,2875,3
5,324,1
5,151,1
5,2614,1
5,3149,1
7,2116,70
7,133,17
7,2131,2
7,1260,3
7,2303,19
7,2742,53
7,1863,2
6,4055,67
6,761,64
6,1565,30
6,607,45
6,2116,61
6,788,21
6,3266,12
6,2454,2
6,3405,13
6,457,3
6,291,4
6,2766,7
6,4001,1
6,3911,1
6,1016,1
6,532,6
6,2548,2
6,3981,1
6,2570,1
6,1872,1
6,2320,2
7,607,42
7,1039,11
7,381,1
30,2352,46
30,2252,46
30,641,5
30,1917,4
30,184,16
30,1753,37
30,214,4
30,761,18
30,3928,3
30,2742,46
12,1565,24
12,2720,39
12,2352,27
12,1815,2
5,2993,11
5,2116,6
5,761,15
5,1810,1
5,3939,2
5,3396,3
5,3516,5
5,2516,1
29,2352,8
29,1384,8
29,184,8
29,4055,8
29,782,7
29,3586,7
29,2584,8
29,3768,5
29,1971,7
29,641,1
27,2352,13
27,4055,13
27,2252,7
27,3026,5
27,3768,5
27,1384,5
27,2121,3
27,2798,2
27,320,2
27,1317,1
10,1298,4
10,933,2
10,182,1
10,1559,2
6,3499,5
6,3516,11
6,2189,2
6,1533,2
25,2352,57
25,4055,57
25,2252,6
25,761,5
25,2742,4
25,504,18
25,866,16
25,1726,2
25,229,2
25,1951,18
24,1658,3
24,349,79
7,3422,1
7,3248,1
7,3231,9
7,1825,3
6,1238,1
6,387,2
7,3310,1
7,1334,1
10,3556,6
10,1430,1
10,1923,2
27,2505,8
27,2646,1
28,4055,30
28,3026,14
28,3118,12
28,2352,30
28,2995,12
28,2252,12
28,3965,10
28,1384,11
28,1188,18
28,320,4
14,4055,8
14,2742,3
14,375,3
14,3019,1
14,3260,1
14,2352,3
14,2937,1
14,3266,2
14,69,1
14,3770,1
28,3768,2
29,3965,2
12,133,13
12,189,1
6,222,1
6,3638,1
6,1614,1
6,1342,1
12,1761,4
12,3597,10
12,373,2
2,4055,18
2,1039,17
2,291,17
2,1357,18
2,162,6
2,2307,13
2,1503,1
2,3405,10
2,2977,15
2,1501,18
31,2352,6
31,788,6
31,1384,5
31,4062,6
31,1753,6
31,3928,1
31,3228,3
31,1382,4
31,782,6
31,184,1
7,3266,26
7,984,2
7,2291,4
7,4070,1
7,338,1
30,4055,30
28,1344,5
9,4055,63
9,3266,28
9,291,51
9,607,21
9,1809,1
9,2742,3
9,3570,1
9,1110,1
9,1489,1
9,2236,1
8,4055,32
8,291,32
8,607,21
8,2352,32
8,3266,9
8,2629,14
8,1039,3
8,912,4
8,2424,1
8,1031,1
9,3933,3
9,2678,4
9,391,4
9,2011,9
9,1039,53
9,1066,2
9,133,22
7,1565,7
7,345,1
7,1429,4
10,2794,2
10,4092,3
10,2438,2
10,4062,2
10,1407,1
10,168,1
9,2629,11
9,2621,2
9,3150,1
21,2646,14
21,1338,4
21,357,1
21,1726,2
29,229,1
9,3589,1
9,1539,1
25,1384,2
25,2992,4
6,912,8
6,2629,10
6,2742,31
6,133,5
6,3512,4
16,4055,25
16,2352,25
16,1421,7
16,2485,13
16,761,3
16,1162,10
16,1039,15
16,788,2
16,2742,4
16,106,1
3,4055,23
3,1039,22
3,291,22
3,2977,23
3,1059,22
3,1731,18
3,133,1
3,761,1
3,3231,1
3,1565,2
6,1661,10
6,611,20
24,1059,13
26,761,1
26,1106,1
26,3381,1
21,3965,1
21,3881,3
6,3555,5
13,2720,26
13,1189,25
13,3947,1
13,291,11
6,2366,3
6,293,1
6,2265,1
6,3607,1
6,1838,2
10,2303,9
10,1061,1
10,3273,1
10,2943,8
9,3516,36
9,402,1
9,154,4
