layer,neuron_idx,count
3,4055,52
3,1039,52
3,291,51
3,1731,39
3,2977,52
3,1059,48
3,162,24
3,42,9
3,2742,2
3,1565,15
9,4055,87
9,3516,27
9,291,67
9,3266,39
9,2834,3
9,1039,66
9,133,55
9,2583,6
9,3901,3
9,2360,2
2,4055,41
2,291,40
2,1039,35
2,1357,41
2,162,8
2,2977,37
2,1565,37
2,1501,39
2,3405,23
2,2307,23
26,2352,26
26,2252,21
26,1384,2
26,4055,1
26,761,2
26,1658,2
26,2929,1
26,2726,1
26,3232,1
26,910,1
7,4055,76
7,761,24
7,291,49
7,2742,42
7,2116,69
7,2726,68
7,2917,1
7,2303,16
7,133,36
7,728,1
6,4055,55
6,761,47
6,2629,8
6,607,26
6,2116,46
6,3309,2
6,611,22
6,1550,2
6,2826,4
6,912,23
6,2366,1
6,2383,1
23,2352,6
23,4055,6
23,2742,2
23,504,4
23,761,5
23,2209,2
23,2013,1
23,1421,1
23,756,1
23,1857,1
11,4055,60
11,367,1
11,647,7
11,3641,7
11,1616,4
11,3793,12
11,4031,1
11,3169,4
11,819,2
11,1967,11
13,4055,20
13,2720,17
13,1039,16
13,1189,9
13,2116,9
13,1162,18
13,3266,1
13,291,4
13,2943,6
13,866,8
9,2629,18
9,1626,3
9,3070,5
9,2352,12
9,3160,3
3,3316,36
3,607,42
3,133,2
7,2932,17
7,3248,1
7,2629,24
7,1548,1
7,3531,3
7,1867,1
12,4055,73
12,866,21
12,1298,45
12,1189,64
12,2720,34
12,291,58
12,3266,68
12,2754,1
12,1039,55
12,133,6
22,2352,11
22,2742,10
22,761,7
22,4055,11
22,1869,8
22,504,10
22,1658,5
22,1421,6
22,1951,5
22,3881,3
18,2352,12
18,4055,12
18,866,7
18,1298,5
18,1039,3
18,1059,6
18,2720,4
18,4080,3
18,1162,3
18,2528,2
28,4055,15
28,2352,15
28,3118,8
28,3026,8
28,1188,10
28,2252,8
28,1384,6
28,2995,6
28,320,4
28,1344,3
12,1565,34
12,1162,2
12,3453,1
12,548,1
25,2352,32
25,4055,32
25,2252,15
25,2742,10
25,1384,8
25,761,10
25,709,9
25,866,18
25,229,3
25,912,8
16,4055,32
16,2352,32
16,1162,17
16,1189,18
16,1298,23
16,2742,9
16,1421,6
16,2977,3
16,2720,1
16,2485,7
18,2485,2
12,704,3
25,1726,7
7,607,36
7,3053,1
7,91,1
7,1222,2
19,2352,9
19,4055,9
19,1421,2
19,2992,2
19,2742,2
19,1211,6
19,1815,2
19,504,1
19,373,1
19,761,1
25,504,10
21,2352,9
21,4055,9
21,1421,7
21,788,2
21,2742,4
21,1658,3
21,761,4
21,1338,2
21,1551,1
21,314,2
19,788,1
19,1658,1
19,1039,1
21,682,1
21,2646,4
21,504,2
24,2352,93
24,2252,25
24,2742,17
24,761,16
24,4055,89
24,2646,16
24,504,66
24,1059,17
24,1951,10
24,2209,64
22,1726,4
15,4055,7
15,2352,7
15,2299,1
15,2742,3
15,3403,1
15,866,5
15,117,1
15,1575,1
15,1882,1
15,221,1
17,2352,25
17,4055,25
17,1298,11
17,866,16
17,290,24
17,788,6
17,1421,10
17,1815,9
17,291,17
17,1211,16
10,4055,62
10,788,37
10,291,53
10,2291,6
10,4062,7
10,2133,3
10,341,8
10,3251,8
10,2352,12
10,2742,37
10,357,9
10,2272,1
10,1324,4
7,1746,2
7,3923,1
7,3405,1
5,4055,25
5,3939,4
5,3823,11
5,2352,16
5,1812,7
5,431,1
5,1565,3
5,3266,14
5,133,7
5,3224,1
6,2742,46
6,1760,2
6,1565,35
6,133,4
10,814,1
6,748,1
6,788,11
10,1217,1
10,3865,2
10,1067,5
10,3266,33
9,1298,6
9,2540,8
9,1162,12
9,25,11
9,1213,3
3,50,35
3,2629,22
3,761,1
9,2539,8
1,788,11
1,1384,11
1,4062,11
1,2352,11
1,290,11
1,4055,11
1,291,11
1,133,11
1,1039,7
1,3231,10
6,387,9
6,3953,3
6,3266,12
6,2320,3
6,508,5
6,2646,3
6,3881,4
6,291,5
29,2352,11
29,1384,11
29,4055,11
29,184,11
29,3768,10
29,1971,8
29,2584,11
29,229,5
29,3586,5
29,782,7
13,3516,2
13,1298,1
13,1343,1
13,2726,13
6,659,2
6,1754,3
6,3896,2
30,2352,50
30,2252,50
30,1917,4
30,214,5
30,184,13
30,1753,41
30,641,4
30,2742,50
30,3928,3
30,761,31
27,2352,8
27,4055,8
27,2252,7
27,3026,4
27,1384,4
27,3768,5
27,2308,3
27,2121,2
27,292,2
27,611,1
28,2613,3
28,3965,4
27,320,1
25,2992,7
27,2505,4
27,229,2
27,2995,1
27,393,1
7,3883,1
7,3827,1
7,1044,1
12,373,9
12,2943,12
12,3658,1
8,4055,31
8,291,31
8,3266,13
8,1099,6
8,2352,29
8,2490,2
8,681,8
8,2306,1
8,423,3
8,1283,1
7,3182,2
7,1189,4
7,3299,1
7,537,2
8,607,17
8,2629,17
8,2932,16
8,912,3
8,1039,2
8,374,1
8,4035,2
8,2015,1
4,4055,35
4,2352,35
4,607,29
4,912,18
4,1039,24
4,1678,8
4,2554,3
4,3620,18
4,1441,1
4,80,1
29,402,5
29,1344,2
4,3088,3
4,2238,2
4,2521,1
4,450,2
10,2809,1
10,56,6
10,3021,4
10,778,6
12,3231,16
12,2932,3
12,2352,28
12,189,1
8,1596,2
10,1077,11
10,1298,13
10,1890,1
10,1478,1
10,3193,1
8,608,1
22,3008,1
22,2209,6
8,1731,2
8,2082,1
7,3266,11
25,2209,6
24,866,6
8,2937,1
10,3216,2
10,3660,7
10,3384,5
24,1658,6
24,373,6
24,1211,21
11,363,2
11,2252,1
11,3549,1
11,2907,12
11,3266,6
11,3070,1
11,2114,1
11,72,1
11,789,1
5,2875,2
5,3099,1
5,2865,4
5,559,1
5,3342,4
5,3546,1
5,1789,1
5,607,10
5,3626,1
3,2352,25
23,1736,1
23,3965,1
23,1658,1
23,2646,1
10,1565,7
10,4024,1
10,133,1
16,2943,8
16,1059,6
16,133,15
16,1625,2
16,761,6
22,3965,3
6,3405,7
6,3638,1
6,3160,2
6,805,1
6,2082,1
16,1039,15
16,866,1
30,1421,44
7,1524,2
7,2713,2
7,2061,2
7,788,5
7,1348,1
7,2600,2
7,4079,1
29,641,1
7,357,4
9,607,21
9,3609,4
9,1278,3
12,2968,2
12,2742,6
9,572,1
9,2313,1
9,443,1
9,2649,1
6,2644,1
6,440,4
6,2352,3
16,1951,2
16,1597,1
6,627,1
6,2478,1
6,1218,1
6,1039,2
6,709,2
25,349,13
2,2082,35
9,2168,3
10,1179,2
10,1137,2
10,2446,1
10,2168,1
10,1489,1
10,2344,1
10,435,1
10,1725,1
12,794,1
7,1039,24
