layer,neuron_idx,count
10,4055,39
10,291,35
10,788,27
10,3266,27
10,3516,1
10,2742,22
10,2634,3
10,1565,4
10,1300,4
10,2492,2
21,2352,10
21,4055,10
21,761,4
21,1421,7
21,1658,4
21,2742,6
21,2646,6
21,290,2
21,1951,3
21,504,3
26,2352,23
26,2252,18
26,1384,6
26,4055,6
26,1658,6
26,761,4
26,3118,4
26,229,5
26,2742,5
26,2726,1
1,788,4
1,1384,4
1,4062,4
1,2352,4
1,290,4
1,4055,4
1,291,4
1,1039,4
1,133,4
1,3881,1
11,4055,67
11,2965,2
11,408,1
11,495,12
11,2373,2
11,3645,4
11,4007,11
11,2344,13
11,2948,1
11,3335,1
10,2303,24
10,3782,1
10,2943,6
10,1940,5
10,3941,1
10,505,1
6,4055,14
6,1565,8
6,761,14
6,607,13
6,113,1
6,207,1
6,2366,1
6,1015,1
6,2646,1
6,387,1
29,2352,7
29,4055,7
29,1384,6
29,184,5
29,1971,4
29,2584,4
29,3586,4
29,1344,4
29,3768,5
29,402,3
7,4055,107
7,1162,23
7,2726,106
7,2116,102
7,3266,10
7,291,41
7,1170,2
7,1562,1
7,3398,1
7,771,1
28,4055,25
28,3026,13
28,2252,12
28,3118,11
28,2352,25
28,1188,10
28,2995,11
28,1384,8
28,1344,9
28,3965,4
7,2557,1
7,607,28
7,1697,1
7,2563,2
26,3026,5
26,2929,6
26,910,2
26,3494,1
28,3328,2
24,2352,75
24,2252,38
24,2742,11
24,761,10
24,1951,6
24,2646,12
24,504,50
24,1059,10
24,1658,9
24,349,48
24,2943,4
15,4055,7
15,2352,7
15,1541,1
15,3381,1
15,1140,1
15,1903,1
15,1298,2
15,866,1
15,393,1
15,2342,1
24,2209,42
24,4055,57
12,4055,211
12,3266,195
12,2943,120
12,866,58
12,1298,166
12,1189,184
12,291,175
12,1039,170
12,2629,1
12,3231,57
13,4055,12
13,2943,8
13,1298,5
13,2720,9
13,2116,6
13,866,9
13,291,2
13,1009,1
13,3231,2
13,3947,1
8,4055,53
8,291,52
8,2352,50
8,3267,7
8,3531,31
8,1671,1
8,3588,5
8,2366,2
8,504,1
8,2629,23
22,2352,24
22,2742,23
22,761,5
22,4055,24
22,1869,11
22,504,21
22,2209,19
22,1421,5
22,3965,2
22,1951,4
14,4055,17
14,654,2
14,573,1
14,302,2
14,2352,6
14,2742,5
14,3698,4
14,2273,1
14,2675,1
14,228,1
5,4055,18
5,1059,13
5,2865,3
5,2485,1
5,1717,11
5,3266,5
5,2221,1
5,761,13
5,1039,1
5,2871,1
9,4055,89
9,291,66
9,2352,16
9,1298,4
9,607,39
9,3027,2
9,772,1
9,1539,2
9,3783,2
9,3266,39
9,254,10
9,579,3
10,408,1
10,1520,1
10,592,1
10,1409,1
10,1626,1
10,1915,1
11,3184,27
11,500,8
11,2398,7
11,3667,1
11,2907,4
11,2117,1
11,2137,2
11,291,10
11,551,3
23,2352,4
23,4055,4
23,2742,2
23,504,3
23,761,2
23,1421,2
23,2209,2
23,1298,2
23,2819,2
23,1658,2
12,1162,36
12,133,30
10,3454,6
10,3021,10
10,2438,13
10,1680,3
10,1923,2
10,79,2
7,133,48
7,2303,26
7,2352,16
7,761,78
7,984,14
10,3050,2
31,2352,36
31,1753,35
31,940,18
31,2041,16
31,782,34
31,3228,18
31,1382,18
31,977,5
31,788,25
31,3795,3
7,2692,14
17,2352,24
17,4055,24
17,866,17
17,291,14
17,1298,7
17,3869,9
17,1815,16
17,1141,1
17,290,13
17,1189,12
12,1565,48
12,761,19
12,2655,2
31,3928,11
31,1917,7
12,3981,6
12,2303,9
11,2732,3
11,4035,28
11,461,3
11,2433,39
11,3169,3
11,2634,2
11,4040,6
11,1358,1
11,2610,2
11,11,1
11,390,2
11,1326,3
11,4066,2
13,1189,10
13,1019,5
13,1162,10
13,2726,3
13,1039,8
13,1059,5
13,287,1
12,1837,3
12,737,6
12,309,5
12,2720,51
12,3307,2
30,2352,27
30,2252,27
30,1917,3
30,184,9
30,641,3
30,1753,21
30,214,5
30,3928,3
30,2742,26
30,761,17
10,1890,1
10,2133,2
10,778,3
10,1886,1
10,181,1
10,1478,2
10,2337,1
22,402,2
22,1658,1
22,1211,16
9,2501,11
9,3153,5
9,133,33
9,1107,7
9,170,4
9,351,4
9,3516,38
9,2278,8
9,1710,13
9,210,2
31,1384,21
9,947,1
9,1516,7
9,169,2
9,636,2
9,2357,6
9,500,3
28,402,1
28,292,5
8,511,1
8,425,1
8,607,11
8,3754,1
8,3925,1
8,903,1
8,1727,2
5,607,3
5,3316,2
5,3657,2
5,1739,2
5,1141,3
5,1694,14
5,764,1
12,2568,2
12,3869,9
5,1561,1
5,1128,1
24,1421,1
9,572,1
9,1039,73
9,1162,34
9,2123,3
17,1421,5
17,1854,1
17,788,1
10,472,3
10,1559,3
10,107,2
10,1162,2
10,3231,3
13,3516,2
13,3911,1
11,1142,2
11,1512,14
11,2709,1
11,2125,1
11,3035,5
11,1544,9
11,3128,2
10,3839,1
15,2742,1
