layer,neuron_idx,count
12,4055,125
12,1298,95
12,1189,106
12,133,26
12,3266,96
12,1162,18
12,291,104
12,1039,77
12,2352,64
12,3869,19
12,808,20
12,704,25
12,281,4
12,3951,2
31,2352,56
31,1753,56
31,788,50
31,1384,25
31,4062,15
31,1382,17
31,940,17
31,782,55
31,3228,16
31,2041,15
12,3231,46
31,3928,32
31,977,1
29,2352,15
29,4055,15
29,1384,14
29,184,14
29,782,6
29,3586,13
29,2584,14
29,1971,13
29,1344,3
29,2613,7
24,2352,92
24,2252,45
24,2742,15
24,504,18
24,2646,13
24,1658,4
24,1421,3
24,4055,88
24,1951,9
24,2209,30
10,4055,33
10,788,16
10,291,22
10,2742,23
10,3021,2
10,357,6
10,3906,2
10,341,2
10,3235,1
10,1664,1
12,175,4
12,866,21
12,1565,45
12,2720,33
12,1059,7
12,2943,44
29,2041,7
7,4055,43
7,761,35
7,1162,8
7,788,4
7,3157,1
7,2726,41
7,291,12
7,984,1
7,170,2
7,3184,1
24,761,11
23,2352,9
23,4055,9
23,2742,1
23,761,6
23,504,3
23,2209,2
23,1736,1
23,3965,1
23,709,7
23,2943,1
24,373,4
17,2352,16
17,4055,16
17,866,12
17,133,8
17,290,15
17,291,8
17,1189,8
17,1488,1
17,788,12
17,1059,4
29,3768,6
29,613,1
27,2352,4
27,4055,4
27,2252,3
27,3026,2
27,1384,2
27,1814,1
27,3768,2
27,2505,4
27,320,1
27,1317,1
30,2352,64
30,2252,64
30,1917,2
30,184,33
30,214,5
30,641,2
30,1753,32
30,2742,63
30,761,20
30,4055,29
10,1565,1
10,1923,3
10,2303,7
10,2794,4
10,3266,7
10,1443,5
10,3578,4
10,2667,1
10,819,4
10,778,11
6,4055,20
6,387,4
6,761,18
6,2742,15
6,1565,9
6,788,5
6,2454,1
6,3554,1
6,1838,1
6,3659,1
15,4055,24
15,2352,24
15,2299,1
15,2826,1
15,2742,4
15,2943,9
15,1604,1
15,72,1
15,2730,1
15,3516,1
10,4040,1
10,921,7
10,1226,1
24,349,42
24,1059,14
21,2352,17
21,4055,17
21,2742,13
21,761,10
21,1421,15
21,504,6
21,1951,8
21,1658,11
21,2646,9
21,3881,4
21,788,3
10,2570,1
10,2818,2
10,1761,1
9,4055,99
9,291,75
9,3266,16
9,133,34
9,1058,5
9,2933,10
9,1433,1
9,2629,10
9,996,1
9,3778,1
6,1892,2
6,607,15
6,2726,12
6,126,1
10,3018,1
28,4055,22
28,3118,14
28,3026,14
28,2352,22
28,2995,14
28,1384,13
28,320,1
28,3965,4
28,1101,1
28,2252,11
28,1188,15
28,2298,5
17,1298,6
17,1421,8
17,373,1
17,1039,1
12,3629,7
26,2352,40
26,2252,33
26,1384,3
26,3026,3
26,4055,6
26,761,2
26,2742,3
26,1658,3
26,229,3
26,320,1
29,229,2
18,2352,12
18,4055,12
18,1059,6
18,2742,10
18,1298,5
18,2992,1
18,1162,6
18,2720,6
18,1039,3
18,866,6
5,4055,23
